fiscal.year,date,activity.type,activity.name,participant.region,origin,destination,origin.country,hotel.nights,meals,bustrain.distance,car.distance,car.sharing
'19/20,Nov2019,course,Hydroacoustics,NL,Saint John's,Saint Andrews,Canada,6,18,0,150,5
'19/20,Nov2019,course,Hydroacoustics,NL,Saint John's,Saint Andrews,Canada,6,18,0,150,5
'19/20,Nov2019,course,Hydroacoustics,NL,Saint John's,Saint Andrews,Canada,6,18,0,150,5
'19/20,Nov2019,course,Hydroacoustics,NL,Saint John's,Saint Andrews,Canada,6,18,0,150,5
'19/20,Nov2019,course,Hydroacoustics,FL,Gainesville,Saint Andrews,USA,6,18,0,150,5
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Nanaimo,Nanaimo,Canada,0,0,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Nanaimo,Nanaimo,Canada,0,0,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Nanaimo,Nanaimo,Canada,0,0,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Nanaimo,Nanaimo,Canada,0,0,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Nanaimo,Nanaimo,Canada,0,0,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Vancouver,Nanaimo,Canada,5,16,0,100,4
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Vancouver,Nanaimo,Canada,5,16,0,100,4
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Vancouver,Nanaimo,Canada,5,16,0,100,4
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Vancouver,Nanaimo,Canada,5,16,0,100,4
'19/20,Jan2020,course,Data-limited Stock Assessment,C&A,Winnipeg,Nanaimo,Canada,5,16,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,C&A,Winnipeg,Nanaimo,Canada,5,16,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,C&A,Winnipeg,Nanaimo,Canada,5,16,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,C&A,Winnipeg,Nanaimo,Canada,5,16,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,C&A,Winnipeg,Nanaimo,Canada,5,16,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,QUE,Mont-Joli,Nanaimo,Canada,6,18,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,QUE,Mont-Joli,Nanaimo,Canada,6,18,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,QUE,Mont-Joli,Nanaimo,Canada,6,18,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,GULF,Moncton,Nanaimo,Canada,6,18,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,GULF,Moncton,Nanaimo,Canada,6,18,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,GULF,Moncton,Nanaimo,Canada,6,18,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,MAR,Halifax,Nanaimo,Canada,5,16,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,MAR,Halifax,Nanaimo,Canada,5,16,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,MAR,Halifax,Nanaimo,Canada,5,16,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,NL,Saint John's,Nanaimo,Canada,6,18,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,NL,Saint John's,Nanaimo,Canada,6,18,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,NA,Seattle,Nanaimo,USA,5,16,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,NA,Seattle,Nanaimo,USA,5,16,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,NCR,Ottawa,Nanaimo,Canada,5,16,0,0,0
'19/20,Jan2020,workshop,Risk,PAC,Nanaimo,Ottawa,Canada,5,16,0,0,0
'19/20,Jan2020,workshop,Risk,PAC,Nanaimo,Ottawa,Canada,5,16,0,0,0
'19/20,Jan2020,workshop,Risk,PAC,Nanaimo,Ottawa,Canada,5,16,0,0,0
'19/20,Jan2020,workshop,Risk,PAC,Nanaimo,Ottawa,Canada,5,16,0,0,0
'19/20,Jan2020,workshop,Risk,PAC,Nanaimo,Ottawa,Canada,5,16,0,0,0
'19/20,Jan2020,workshop,Risk,C&A,Winnipeg,Ottawa,Canada,5,16,0,0,0
'19/20,Jan2020,workshop,Risk,C&A,Winnipeg,Ottawa,Canada,5,16,0,0,0
'19/20,Jan2020,workshop,Risk,C&A,Winnipeg,Ottawa,Canada,5,16,0,0,0
'19/20,Jan2020,workshop,Risk,C&A,Winnipeg,Ottawa,Canada,5,16,0,0,0
'19/20,Jan2020,workshop,Risk,QUE,Mont-Joli,Ottawa,Canada,6,18,0,800,5
'19/20,Jan2020,workshop,Risk,QUE,Mont-Joli,Ottawa,Canada,6,18,0,800,5
'19/20,Jan2020,workshop,Risk,QUE,Mont-Joli,Ottawa,Canada,6,18,0,800,5
'19/20,Jan2020,workshop,Risk,QUE,Mont-Joli,Ottawa,Canada,6,18,0,800,5
'19/20,Jan2020,workshop,Risk,QUE,Mont-Joli,Ottawa,Canada,6,18,0,800,5
'19/20,Jan2020,workshop,Risk,GULF,Moncton,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,GULF,Moncton,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,GULF,Moncton,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,MAR,Halifax,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,MAR,Halifax,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,MAR,Halifax,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,MAR,Halifax,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,NL,Saint John's,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,NL,Saint John's,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,NL,Saint John's,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,NL,Saint John's,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,NL,Saint John's,Ottawa,Canada,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,NCR,Ottawa,Ottawa,Canada,0,0,0,0,0
'19/20,Jan2020,workshop,Risk,NCR,Ottawa,Ottawa,Canada,0,0,0,0,0
'19/20,Jan2020,workshop,Risk,NCR,Ottawa,Ottawa,Canada,0,0,0,0,0
'19/20,Jan2020,workshop,Risk,NCR,Ottawa,Ottawa,Canada,0,0,0,0,0
'19/20,Jan2020,workshop,Risk,NCR,Ottawa,Ottawa,Canada,0,0,0,0,0
'19/20,Jan2020,workshop,Risk,NA,Wellington,Ottawa,New Zealand,6,18,0,0,0
'19/20,Jan2020,workshop,Risk,BC,Vancouver,Ottawa,Canada,6,18,0,0,0
