fiscal.year,date,activity.type,activity.name,participant.region,origin,destination,origin.country,hotel.nights,meals,bustrain.distance,car.distance,car.sharing,flying
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NL,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,2019,online course,Rtools,NCR,Ottawa,Ottawa,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Geostatistics,NA,Montreal,Winnipeg,Canada,5,16,0,0,0,1
'19/20,Nov2019,course,Geostatistics,PAC,Nanaimo,Winnipeg,Canada,5,16,0,0,0,1
'19/20,Nov2019,course,Geostatistics,PAC,Nanaimo,Winnipeg,Canada,5,16,0,0,0,1
'19/20,Nov2019,course,Geostatistics,PAC,Nanaimo,Winnipeg,Canada,5,16,0,0,0,1
'19/20,Nov2019,course,Geostatistics,PAC,Nanaimo,Winnipeg,Canada,5,16,0,0,0,1
'19/20,Nov2019,course,Geostatistics,PAC,Nanaimo,Winnipeg,Canada,5,16,0,0,0,1
'19/20,Nov2019,course,Geostatistics,C&A,Winnipeg,Winnipeg,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Geostatistics,C&A,Winnipeg,Winnipeg,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Geostatistics,C&A,Winnipeg,Winnipeg,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Geostatistics,C&A,Winnipeg,Winnipeg,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Geostatistics,C&A,Winnipeg,Winnipeg,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Geostatistics,C&A,Winnipeg,Winnipeg,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Geostatistics,C&A,Winnipeg,Winnipeg,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Geostatistics,C&A,Winnipeg,Winnipeg,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Geostatistics,C&A,Winnipeg,Winnipeg,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Geostatistics,QUE,Mont-Joli,Winnipeg,Canada,6,18,0,0,0,1
'19/20,Nov2019,course,Geostatistics,QUE,Mont-Joli,Winnipeg,Canada,6,18,0,0,0,1
'19/20,Nov2019,course,Geostatistics,QUE,Mont-Joli,Winnipeg,Canada,6,18,0,0,0,1
'19/20,Nov2019,course,Geostatistics,GULF,Moncton,Winnipeg,Canada,6,18,0,0,0,1
'19/20,Nov2019,course,Geostatistics,GULF,Moncton,Winnipeg,Canada,6,18,0,0,0,1
'19/20,Nov2019,course,Geostatistics,GULF,Moncton,Winnipeg,Canada,6,18,0,0,0,1
'19/20,Nov2019,course,Geostatistics,MAR,Halifax,Winnipeg,Canada,5,16,0,0,0,1
'19/20,Nov2019,course,Geostatistics,MAR,Halifax,Winnipeg,Canada,5,16,0,0,0,1
'19/20,Nov2019,course,Geostatistics,MAR,Halifax,Winnipeg,Canada,5,16,0,0,0,1
'19/20,Nov2019,course,Geostatistics,NL,Saint John's,Winnipeg,Canada,6,18,0,0,0,1
'19/20,Nov2019,course,Geostatistics,NL,Saint John's,Winnipeg,Canada,6,18,0,0,0,1
'19/20,Nov2019,course,Introduction to Stock Assessment,PAC,Nanaimo,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,PAC,Nanaimo,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,PAC,Nanaimo,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,PAC,Nanaimo,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,PAC,Nanaimo,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,C&A,Winnipeg,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,C&A,Winnipeg,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,C&A,Winnipeg,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,C&A,Winnipeg,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,QUE,Mont-Joli,Saint Andrews,Canada,6,18,0,600,5,0
'19/20,Nov2019,course,Introduction to Stock Assessment,QUE,Mont-Joli,Saint Andrews,Canada,6,18,0,600,5,0
'19/20,Nov2019,course,Introduction to Stock Assessment,QUE,Mont-Joli,Saint Andrews,Canada,6,18,0,600,5,0
'19/20,Nov2019,course,Introduction to Stock Assessment,QUE,Mont-Joli,Saint Andrews,Canada,6,18,0,600,5,0
'19/20,Nov2019,course,Introduction to Stock Assessment,QUE,Mont-Joli,Saint Andrews,Canada,6,18,0,600,5,0
'19/20,Nov2019,course,Introduction to Stock Assessment,GULF,Moncton,Saint Andrews,Canada,5,16,0,250,3,0
'19/20,Nov2019,course,Introduction to Stock Assessment,GULF,Moncton,Saint Andrews,Canada,5,16,0,250,3,0
'19/20,Nov2019,course,Introduction to Stock Assessment,GULF,Moncton,Saint Andrews,Canada,5,16,0,250,3,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Halifax,Saint Andrews,Canada,5,16,0,700,4,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Halifax,Saint Andrews,Canada,5,16,0,700,4,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Halifax,Saint Andrews,Canada,5,16,0,700,4,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Saint Andrews,Saint Andrews,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Halifax,Saint Andrews,Canada,5,16,0,700,4,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Halifax,Saint Andrews,Canada,5,16,0,700,4,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Halifax,Saint Andrews,Canada,5,16,0,700,4,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Halifax,Saint Andrews,Canada,5,16,0,700,4,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Halifax,Saint Andrews,Canada,5,16,0,700,4,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Halifax,Saint Andrews,Canada,5,16,0,700,4,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Saint Andrews,Saint Andrews,Canada,0,0,0,0,0,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Halifax,Saint Andrews,Canada,5,16,0,700,4,0
'19/20,Nov2019,course,Introduction to Stock Assessment,MAR,Halifax,Saint Andrews,Canada,5,16,0,700,4,0
'19/20,Nov2019,course,Introduction to Stock Assessment,NL,Saint John's,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,NL,Saint John's,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,NL,Saint John's,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,NL,Saint John's,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,NL,Saint John's,Saint Andrews,Canada,6,18,0,150,5,1
'19/20,Nov2019,course,Introduction to Stock Assessment,FL,Gainesville,Saint Andrews,USA,6,18,0,150,5,1
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Nanaimo,Nanaimo,Canada,0,0,0,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Nanaimo,Nanaimo,Canada,0,0,0,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Nanaimo,Nanaimo,Canada,0,0,0,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Nanaimo,Nanaimo,Canada,0,0,0,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Nanaimo,Nanaimo,Canada,0,0,0,0,0,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Vancouver,Nanaimo,Canada,5,16,0,100,4,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Vancouver,Nanaimo,Canada,5,16,0,100,4,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Vancouver,Nanaimo,Canada,5,16,0,100,4,0
'19/20,Jan2020,course,Data-limited Stock Assessment,PAC,Vancouver,Nanaimo,Canada,5,16,0,100,4,0
'19/20,Jan2020,course,Data-limited Stock Assessment,C&A,Winnipeg,Nanaimo,Canada,5,16,0,0,0,1
'19/20,Jan2020,course,Data-limited Stock Assessment,C&A,Winnipeg,Nanaimo,Canada,5,16,0,0,0,1
'19/20,Jan2020,course,Data-limited Stock Assessment,C&A,Winnipeg,Nanaimo,Canada,5,16,0,0,0,1
'19/20,Jan2020,course,Data-limited Stock Assessment,C&A,Winnipeg,Nanaimo,Canada,5,16,0,0,0,1
